time,bass,drums,vocals,other
13.33,170.33333333333334,209.83333333333334,132.76842105263157,107.5
13.35,169.33333333333334,209.33333333333334,131.37894736842105,103.9375
13.36,167.66666666666666,209.33333333333334,128.8421052631579,98.9375
13.38,166.83333333333334,208.91666666666666,126.42105263157895,93.58928571428571
13.40,167.33333333333334,207.58333333333334,123.65263157894736,89.00892857142857
13.41,165,205.41666666666666,120.14736842105263,84.30357142857143
13.43,163,205.91666666666666,117.4,80
13.45,163.5,204.75,115.88421052631578,75.8125
13.46,161.5,202.5,114.76842105263158,71.83928571428571
13.48,163.66666666666666,201.83333333333334,114,67.85714285714286
13.50,161.66666666666666,200.33333333333334,113.61052631578947,64.28571428571429
13.51,161.83333333333334,198.66666666666666,112.86315789473684,61.125
13.53,161.83333333333334,197.33333333333334,112.09473684210526,58.267857142857146
13.55,162,196.91666666666666,112.25263157894737,55.4375
13.56,163,195.66666666666666,112.01052631578948,52.42857142857143
13.58,163.83333333333334,195.91666666666666,112.03157894736842,49.63392857142857
13.60,167,195.91666666666666,111.65263157894736,47.1875
13.61,167.83333333333334,196.66666666666666,110.97894736842105,45.625
13.63,168.66666666666666,197.25,111.02105263157895,43.74107142857143
13.65,168.66666666666666,198.5,110.56842105263158,41.535714285714285
13.66,168.83333333333334,201.75,109.78947368421052,40.482142857142854
13.68,173.5,204.75,108.50526315789473,39.44642857142857
13.70,174.5,205.5,108.37894736842105,37.964285714285715
13.71,174.83333333333334,207.83333333333334,108.01052631578948,36.482142857142854
13.73,176,208,106.85263157894737,34.714285714285715
13.75,177,208.91666666666666,105.94736842105263,32.839285714285715
13.76,180.5,211.25,105.14736842105263,32.0625
13.78,181.66666666666666,212,105.3578947368421,30.964285714285715
13.80,180.5,210.75,108.89473684210526,30.857142857142858
13.81,181.16666666666666,209.83333333333334,110.0421052631579,30.125
13.83,180.83333333333334,208.91666666666666,110.11578947368422,28.866071428571427
13.85,180.16666666666666,207.33333333333334,110.54736842105264,28.580357142857142
13.86,182.5,207.25,110.92631578947369,29.223214285714285
13.88,183,206.16666666666666,111.05263157894737,30.107142857142858
13.90,180.16666666666666,204.83333333333334,110,29.848214285714285
13.91,179.5,204.08333333333334,110.16842105263157,29.223214285714285
13.93,178.16666666666666,203.08333333333334,109.37894736842105,28.464285714285715
13.95,178.83333333333334,202.41666666666666,108.62105263157895,27.044642857142858
13.96,178.83333333333334,203.08333333333334,107.07368421052631,27.008928571428573
13.98,179,200.5,106.47368421052632,26.0625
14.00,178.66666666666666,199.58333333333334,105.84210526315789,25.964285714285715
14.01,176.33333333333334,199.41666666666666,105.86315789473684,25.732142857142858
14.03,174.5,197.83333333333334,105.32631578947368,24.928571428571427
14.05,173.5,196.41666666666666,106.34736842105264,24.723214285714285
14.06,173.5,195.58333333333334,107.02105263157895,24.375
14.08,170.16666666666666,194.08333333333334,107.30526315789474,24.401785714285715
14.10,169.66666666666666,195.58333333333334,107.52631578947368,25.553571428571427
14.11,169.5,198.58333333333334,108.57894736842105,25.357142857142858
14.13,167.83333333333334,199.66666666666666,109.97894736842105,25.794642857142858
14.15,166,201.33333333333334,110.56842105263158,25.517857142857142
14.16,166.66666666666666,202.33333333333334,110.6842105263158,25.830357142857142
14.18,167.83333333333334,201.66666666666666,111.14736842105263,26.866071428571427
14.20,167.5,202.75,111.66315789473684,27.6875
14.21,166,203.91666666666666,111.69473684210526,27.428571428571427
14.23,164.16666666666666,203.75,112.53684210526316,27.785714285714285
14.25,163,204.25,112.77894736842106,28.642857142857142
14.26,161,203.25,112.98947368421052,28.785714285714285
14.28,159.83333333333334,206.08333333333334,112.45263157894736,29.6875
14.30,160.66666666666666,206.25,112.58947368421053,29.821428571428573
14.31,159.33333333333334,207.25,112.28421052631579,29.553571428571427
14.33,158,206.66666666666666,112.28421052631579,29.125
14.35,156.16666666666666,208.08333333333334,113.15789473684211,28.660714285714285
14.36,156.16666666666666,209,113.26315789473684,28.910714285714285
14.38,158,210.08333333333334,113.82105263157895,29.205357142857142
14.40,161.33333333333334,211.5,113.8,30.107142857142858
14.41,161.66666666666666,210.75,113.29473684210527,30.419642857142858
14.43,162.83333333333334,209.83333333333334,114.21052631578948,30.419642857142858
14.45,164.66666666666666,210.25,115.85263157894737,30.866071428571427
14.46,164.83333333333334,209.58333333333334,115.45263157894736,30.803571428571427
14.48,164.16666666666666,208.91666666666666,114.94736842105263,30.053571428571427
14.50,162.66666666666666,208.25,114.5578947368421,29.625
14.51,161.66666666666666,209.08333333333334,114.94736842105263,29.348214285714285
14.53,162,208.41666666666666,114.96842105263158,29.276785714285715
14.55,162.66666666666666,207.08333333333334,115.54736842105264,29.053571428571427
14.56,161.66666666666666,206.66666666666666,115.15789473684211,29.044642857142858
14.58,161.66666666666666,207.41666666666666,113.97894736842105,28.839285714285715
14.60,161,207.16666666666666,114.45263157894736,28.535714285714285
14.61,162,208,113.93684210526315,28.6875
14.63,160.83333333333334,208.91666666666666,113.67368421052632,28.625
14.65,160,209.33333333333334,113.05263157894737,28.598214285714285
14.66,159.33333333333334,209.75,113.46315789473684,28.839285714285715
14.68,159.33333333333334,208.83333333333334,114.16842105263157,28.633928571428573
14.70,160.5,210.83333333333334,113.67368421052632,28.580357142857142
14.71,161.83333333333334,210.91666666666666,114.62105263157895,28.803571428571427
14.73,162.5,212.41666666666666,114.77894736842106,30
14.75,163.83333333333334,213,114.01052631578948,30.348214285714285
14.76,165.83333333333334,214.33333333333334,113.42105263157895,30.428571428571427
14.78,168.66666666666666,214.5,113.61052631578947,30.044642857142858
14.80,174.83333333333334,215.08333333333334,113.3157894736842,29.241071428571427
14.81,177,216.16666666666666,112.42105263157895,29.1875
14.83,177.83333333333334,214.33333333333334,112.08421052631579,29.071428571428573
14.85,179.16666666666666,211.33333333333334,110.67368421052632,30.142857142857142
14.86,179.5,209.75,110.08421052631579,30.196428571428573
14.88,179.33333333333334,206.75,110.33684210526316,32.410714285714285
14.90,179.33333333333334,204.41666666666666,109.82105263157895,33.919642857142854
14.91,180,202.25,109.66315789473684,36.214285714285715
14.93,182.5,198.91666666666666,109.14736842105263,37.464285714285715
14.95,183.33333333333334,195.83333333333334,108.94736842105263,39.05357142857143
14.96,182.16666666666666,193.58333333333334,108.86315789473684,40.642857142857146
14.98,184.33333333333334,192.5,109.3578947368421,43.767857142857146
15.00,184.5,191.33333333333334,109.28421052631579,46.125
15.01,184,190.41666666666666,108.53684210526316,48.964285714285715
15.03,182.83333333333334,189.75,108.69473684210526,52.13392857142857
15.05,183.33333333333334,188,109.25263157894737,56.232142857142854
15.06,182.66666666666666,187.33333333333334,110.09473684210526,58.482142857142854
15.08,183.5,185.41666666666666,110.3157894736842,60.214285714285715
15.10,186,184,110.89473684210526,62.1875
15.11,185.66666666666666,183,112.16842105263157,64.11607142857143
15.13,184.33333333333334,183.5,112.66315789473684,64.83928571428571
15.15,185.33333333333334,185.33333333333334,112.65263157894736,63.44642857142857
15.16,184.16666666666666,184,112.13684210526316,62.17857142857143
15.18,183.5,182.83333333333334,112.38947368421053,61.044642857142854
15.20,181.5,182.16666666666666,113.21052631578948,61.82142857142857
15.21,179.83333333333334,182.16666666666666,113.66315789473684,66.02678571428571
15.23,180.66666666666666,180.16666666666666,114.6,75.91964285714286
15.25,179.16666666666666,179.5,117.10526315789474,84.29464285714286
15.26,177.83333333333334,179.41666666666666,118.07368421052631,91.64285714285714
15.28,177.5,181.25,119.81052631578947,95.96428571428571
15.30,176.66666666666666,185.66666666666666,121.32631578947368,96.36607142857143
15.31,175.16666666666666,197.08333333333334,124.73684210526316,99.16964285714286
15.33,173.16666666666666,201.66666666666666,125.62105263157895,103.49107142857143
15.35,174,202,128.4842105263158,118.5
15.36,174.16666666666666,202.08333333333334,129.97894736842105,127.10714285714286
15.38,174.16666666666666,203,129.38947368421051,131.13392857142858
15.40,173.33333333333334,200.83333333333334,129.4842105263158,136.71428571428572
15.41,173.5,200,129.02105263157895,141.30357142857142
15.43,175.5,199.58333333333334,129.9157894736842,143
15.45,176.5,200.08333333333334,131.41052631578947,145.28571428571428
15.46,179.5,202.16666666666666,131.2421052631579,144.80357142857142
15.48,181.16666666666666,204.5,129.56842105263158,144.34821428571428
15.50,181.66666666666666,205.33333333333334,129.49473684210525,142.01785714285714
15.51,183.5,206.83333333333334,133.49473684210525,144.29464285714286
15.53,185.5,210.41666666666666,140.25263157894736,146
15.55,187.16666666666666,210.83333333333334,142.23157894736843,145.39285714285714
15.56,190.66666666666666,210.91666666666666,143.96842105263158,144.10714285714286
15.58,191.66666666666666,211.08333333333334,148.18947368421053,142.60714285714286
15.60,193,211.83333333333334,153.16842105263157,142.80357142857142
15.61,192.16666666666666,209.91666666666666,155.2421052631579,142.25
15.63,193.33333333333334,209.08333333333334,156.1263157894737,140.71428571428572
15.65,193,209.41666666666666,155.44210526315788,139.02678571428572
15.66,194.83333333333334,210.66666666666666,156.1157894736842,136.13392857142858
15.68,194.66666666666666,213.08333333333334,155.57894736842104,133.72321428571428
15.70,193.66666666666666,212.41666666666666,154.74736842105264,130.9375
15.71,192.16666666666666,213.58333333333334,153.6421052631579,128.625
15.73,191.83333333333334,215.33333333333334,153.1578947368421,126.11607142857143
15.75,193,213.75,151.33684210526314,123.30357142857143
15.76,192.83333333333334,211.5,149.85263157894738,120.3125
15.78,192,211.08333333333334,148.49473684210525,117.60714285714286
15.80,192.5,210.75,147.56842105263158,115.84821428571429
15.81,192.5,212,147.86315789473684,115.67857142857143
15.83,191.83333333333334,215.58333333333334,146.76842105263157,116.14285714285714
15.85,192,214.91666666666666,144.4,112.82142857142857
15.86,191.16666666666666,213.41666666666666,141.85263157894738,107.6875
15.88,191.5,212.58333333333334,138.42105263157896,101.9375
15.90,192.16666666666666,210.16666666666666,135.76842105263157,96.80357142857143
15.91,192.5,207.75,133.86315789473684,91.92857142857143
15.93,192.66666666666666,205.75,135.86315789473684,102.03571428571429
15.95,192,204.08333333333334,134.77894736842106,107.01785714285714
15.96,191.66666666666666,204.91666666666666,135.42105263157896,108.54464285714286
15.98,193.16666666666666,208.33333333333334,145.2736842105263,115.0625
